#639-3	#639-3-macrolanguage	#Name3-macrolanguage	#639-3-alias
aka	fat	Fanti
aka	twi	Twi
ara	aao	Algerian Saharan Arabic
ara	abh	Tajiki Arabic
ara	abv	Baharna Arabic
ara	acm	Mesopotamian Arabic
ara	acq	Ta'izzi-Adeni Arabic
ara	acw	Hijazi Arabic
ara	acx	Omani Arabic
ara	acy	Cypriot Arabic
ara	adf	Dhofari Arabic
ara	aeb	Tunisian Arabic
ara	aec	Saidi Arabic
ara	afb	Gulf Arabic
ara	ajp	South Levantine Arabic
ara	apc	North Levantine Arabic
ara	apd	Sudanese Arabic
ara	arb	Standard Arabic
ara	arq	Algerian Arabic
ara	ars	Najdi Arabic
ara	ary	Moroccan Arabic
ara	arz	Egyptian Arabic
ara	auz	Uzbeki Arabic
ara	avl	Eastern Egyptian Bedawi Arabic
ara	ayh	Hadrami Arabic
ara	ayl	Libyan Arabic
ara	ayn	Sanaani Arabic
ara	ayp	North Mesopotamian Arabic
ara	pga	Sudanese Creole Arabic
ara	shu	Chadian Arabic
ara	ssh	Shihhi Arabic
ara	bbz	Babalia Creole Arabic
aym	ayc	Southern Aymara
aym	ayr	Central Aymara
aze	azb	South Azerbaijani
aze	azj	North Azerbaijani
bal	bcc	Southern Balochi
bal	bgn	Western Balochi
bal	bgp	Eastern Balochi
bik	bcl	Central Bikol
bik	bln	Southern Catanduanes Bikol
bik	bto	Rinconada Bikol
bik	cts	Northern Catanduanes Bikol
bik	fbl	West Albay Bikol
bik	lbl	Libon Bikol
bik	rbl	Miraya Bikol
bik	ubl	Buhi'non Bikol
bik	bhk	Albay Bicolano
bnc	ebk	Eastern Bontok
bnc	lbk	Central Bontok
bnc	obk	Southern Bontok
bnc	rbk	Northern Bontok
bnc	vbk	Southwestern Bontok
bua	bxm	Mongolia Buriat
bua	bxr	Russia Buriat
bua	bxu	China Buriat
chm	mhr	Eastern Mari
chm	mrj	Western Mari
cre	crj	Southern East Cree
cre	crk	Plains Cree
cre	crl	Northern East Cree
cre	crm	Moose Cree
cre	csw	Swampy Cree
cre	cwd	Woods Cree
cre	nsk	Naskapi
cre	moe	Montagnais
cre	atj	Atikamekw
cre	crg	Michif language
cre	ojs	Ojibwa, Severn
cre	ojw	Ojibwa, Western
del	umu	Munsee
del	unm	Unami
den	scs	North Slavey
den	xsl	South Slavey
din	dib	South Central Dinka
din	dik	Southwestern Dinka
din	dip	Northeastern Dinka
din	diw	Northwestern Dinka
