#639-5,#Name5,#Name1,#Name1-native,#639-1,"#639-2-t",#639-2-b,#639-3,#639-6,#Notes
ccn,Northwest Caucasian,Abkhaz,"аҧсуа бызшәа, аҧсшәа",ab,abk,abk,abk,abks,""
afa,Afro-Asiatic,Afar,Afaraf,aa,aar,aar,aar,aars,""
ine,Indo-European,Afrikaans,Afrikaans,af,afr,afr,afr,afrs,""
,Niger–Congo,Akan,Akan,ak,aka,aka,aka,"","macrolanguage, Twi is [tw/twi], Fanti is [fat]"
afa,Afro-Asiatic,Amharic,አማርኛ,am,amh,amh,amh,"",""
afa,Afro-Asiatic,Arabic,العربية,ar,ara,ara,ara,"","macrolanguage, Standard Arabic is [arb]"
ine,Indo-European,Aragonese,aragonés,an,arg,arg,arg,"",""
ine,Indo-European,Armenian,Հայերեն,hy,hye,arm,hye,"",""
ine,Indo-European,Assamese,অসমীয়া,as,asm,asm,asm,"",""
ccn,Northeast Caucasian,Avaric,"авар мацӀ, магӀарул мацӀ",av,ava,ava,ava,"",""
ine,Indo-European,Avestan,avesta,ae,ave,ave,ave,"",ancient
,Aymaran,Aymara,aymar aru,ay,aym,aym,aym,"",macrolanguage
trk,Turkic,Azerbaijani,azərbaycan dili,az,aze,aze,aze,"",macrolanguage
,Niger–Congo,Bambara,bamanankan,bm,bam,bam,bam,"",""
trk,Turkic,Bashkir,башҡорт теле,ba,bak,bak,bak,"",""
euq,Language isolate,Basque,"euskara, euskera",eu,eus,baq,eus,"",""
ine,Indo-European,Belarusian,беларуская мова,be,bel,bel,bel,"",""
ine,Indo-European,"Bengali, Bangla",বাংলা,bn,ben,ben,ben,"",""
ine,Indo-European,Bihari,भोजपुरी,bh,bih,bih,"","","Collective language code for Bhojpuri, Magahi, and Maithili"
crp,Creole,Bislama,Bislama,bi,bis,bis,bis,"",""
ine,Indo-European,Bosnian,bosanski jezik,bs,bos,bos,bos,boss,""
ine,Indo-European,Breton,brezhoneg,br,bre,bre,bre,"",""
ine,Indo-European,Bulgarian,български език,bg,bul,bul,bul,buls,""
sit,Sino-Tibetan,Burmese,ဗမာစာ,my,mya,bur,mya,"",""
ine,Indo-European,Catalan,català,ca,cat,cat,cat,"",""
map,Austronesian,Chamorro,Chamoru,ch,cha,cha,cha,"",""
ccn,Northeast Caucasian,Chechen,нохчийн мотт,ce,che,che,che,"",""
,Niger–Congo,"Chichewa, Chewa, Nyanja","chiCheŵa, chinyanja",ny,nya,nya,nya,"",""
sit,Sino-Tibetan,Chinese,"中文 (Zhōngwén), 汉语, 漢語",zh,zho,chi,zho,"",macrolanguage
trk,Turkic,Chuvash,чӑваш чӗлхи,cv,chv,chv,chv,"",""
ine,Indo-European,Cornish,Kernewek,kw,cor,cor,cor,"",""
ine,Indo-European,Corsican,"corsu, lingua corsa",co,cos,cos,cos,"",""
alg,Algonquian,Cree,ᓀᐦᐃᔭᐍᐏᐣ,cr,cre,cre,cre,"",macrolanguage
ine,Indo-European,Croatian,hrvatski jezik,hr,hrv,hrv,hrv,"",""
ine,Indo-European,Czech,"čeština, český jazyk",cs,ces,cze,ces,"",""
ine,Indo-European,Danish,dansk,da,dan,dan,dan,"",""
ine,Indo-European,"Divehi, Dhivehi, Maldivian",ދިވެހި,dv,div,div,div,"",""
ine,Indo-European,Dutch,"Nederlands, Vlaams",nl,nld,dut,nld,"",""
sit,Sino-Tibetan,Dzongkha,རྫོང་ཁ,dz,dzo,dzo,dzo,"",""
ine,Indo-European,English,English,en,eng,eng,eng,engs,""
,Constructed,Esperanto,Esperanto,eo,epo,epo,epo,"","constructed, initiated from L.L. Zamenhof, 1887"
urj,Uralic,Estonian,"eesti, eesti keel",et,est,est,est,"",macrolanguage
,Niger–Congo,Ewe,Eʋegbe,ee,ewe,ewe,ewe,"",""
ine,Indo-European,Faroese,føroyskt,fo,fao,fao,fao,"",""
map,Austronesian,Fijian,vosa Vakaviti,fj,fij,fij,fij,"",""
urj,Uralic,Finnish,"suomi, suomen kieli",fi,fin,fin,fin,"",""
ine,Indo-European,French,"français, langue française",fr,fra,fre,fra,fras,""
,Niger–Congo,"Fula, Fulah, Pulaar, Pular","Fulfulde, Pulaar, Pular",ff,ful,ful,ful,"",macrolanguage
ine,Indo-European,Galician,galego,gl,glg,glg,glg,"",""
ccs,South Caucasian,Georgian,ქართული,ka,kat,geo,kat,"",""
ine,Indo-European,German,Deutsch,de,deu,ger,deu,deus,""
ine,Indo-European,Greek (modern),ελληνικά,el,ell,gre,ell,ells,""
tup,Tupian,Guaraní,Avañe'ẽ,gn,grn,grn,grn,"",macrolanguage
ine,Indo-European,Gujarati,ગુજરાતી,gu,guj,guj,guj,"",""
crp,Creole,"Haitian, Haitian Creole",Kreyòl ayisyen,ht,hat,hat,hat,"",""
afa,Afro-Asiatic,Hausa,(Hausa) هَوُسَ,ha,hau,hau,hau,"",""
afa,Afro-Asiatic,Hebrew (modern),עברית,he,heb,heb,heb,"",""
,Niger–Congo,Herero,Otjiherero,hz,her,her,her,"",""
ine,Indo-European,Hindi,"हिन्दी, हिंदी",hi,hin,hin,hin,hins,""
map,Austronesian,Hiri Motu,Hiri Motu,ho,hmo,hmo,hmo,"",""
urj,Uralic,Hungarian,magyar,hu,hun,hun,hun,"",""
,Constructed,Interlingua,Interlingua,ia,ina,ina,ina,"",constructed by International Auxiliary Language Association
map,Austronesian,Indonesian,Bahasa Indonesia,id,ind,ind,ind,"",Covered by macrolanguage [ms/msa]
,Constructed,Interlingue,Originally called Occidental,th,ie,ile,ile,ile,""
ine,Indo-European,Irish,Gaeilge,ga,gle,gle,gle,"",""
,Niger–Congo,Igbo,Asụsụ Igbo,ig,ibo,ibo,ibo,"",""
esx,Eskimo–Aleut,Inupiaq,"Iñupiaq, Iñupiatun",ik,ipk,ipk,ipk,"",macrolanguage
,Constructed,Ido,Ido,io,ido,ido,ido,idos,"constructed by De Beaufront, 1907, as variation of Esperanto"
ine,Indo-European,Icelandic,Íslenska,is,isl,ice,isl,"",""
ine,Indo-European,Italian,italiano,it,ita,ita,ita,itas,""
esx,Eskimo–Aleut,Inuktitut,ᐃᓄᒃᑎᑐᑦ,iu,iku,iku,iku,"",macrolanguage
jpx,Japonic,Japanese,日本語 (にほんご),ja,jpn,jpn,jpn,"",""
map,Austronesian,Javanese,basa Jawa,jv,jav,jav,jav,"",""
,Eskimo–Aleut,"Kalaallisut, Greenlandic","kalaallisut, kalaallit oqaasii",kl,kal,kal,kal,"",""
dra,Dravidian,Kannada,ಕನ್ನಡ,kn,kan,kan,kan,"",""
ssa,Nilo-Saharan,Kanuri,Kanuri,kr,kau,kau,kau,"",macrolanguage
ine,Indo-European,Kashmiri,"कश्मीरी, كشميري",ks,kas,kas,kas,"",""
trk,Turkic,Kazakh,қазақ тілі,kk,kaz,kaz,kaz,"",""
aav,Austroasiatic,Khmer,"ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ",km,khm,khm,khm,"",a.k.a. Cambodian
,Niger–Congo,"Kikuyu, Gikuyu",Gĩkũyũ,ki,kik,kik,kik,"",""
,Niger–Congo,Kinyarwanda,Ikinyarwanda,rw,kin,kin,kin,"",""
trk,Turkic,Kyrgyz,"Кыргызча, Кыргыз тили",ky,kir,kir,kir,"",""
urj,Uralic,Komi,коми кыв,kv,kom,kom,kom,"",macrolanguage
,Niger–Congo,Kongo,Kikongo,kg,kon,kon,kon,"",macrolanguage
,Koreanic,Korean,"한국어, 조선어",ko,kor,kor,kor,"",""
ine,Indo-European,Kurdish,"Kurdî, كوردی",ku,kur,kur,kur,"",macrolanguage
,Niger–Congo,"Kwanyama, Kuanyama",Kuanyama,kj,kua,kua,kua,"",""
ine,Indo-European,Latin,"latine, lingua latina",la,lat,lat,lat,lats,ancient
ine,Indo-European,Ladin,"ladin, lingua ladina","","","",lld,"",""
ine,Indo-European,"Luxembourgish, Letzeburgesch",Lëtzebuergesch,lb,ltz,ltz,ltz,"",""
,Niger–Congo,Ganda,Luganda,lg,lug,lug,lug,"",""
ine,Indo-European,"Limburgish, Limburgan, Limburger",Limburgs,li,lim,lim,lim,"",""
,Niger–Congo,Lingala,Lingála,ln,lin,lin,lin,"",""
tai,Tai–Kadai,Lao,ພາສາລາວ,lo,lao,lao,lao,"",""
ine,Indo-European,Lithuanian,lietuvių kalba,lt,lit,lit,lit,"",""
,Niger–Congo,Luba-Katanga,Tshiluba,lu,lub,lub,lub,"",""
ine,Indo-European,Latvian,latviešu valoda,lv,lav,lav,lav,"",macrolanguage
ine,Indo-European,Manx,"Gaelg, Gailck",gv,glv,glv,glv,"",""
ine,Indo-European,Macedonian,македонски јазик,mk,mkd,mac,mkd,"",""
map,Austronesian,Malagasy,fiteny malagasy,mg,mlg,mlg,mlg,"",macrolanguage
